Sample,%,,,,Concentration in PPM,,,,,,,,,,,,,,,,,,w/w
,Cu,Zn,Pb,Fe,Ni,Ag,Sb,As,Co,Cd,Sn,Te,Bi,Mn,Li,Al,V,Cr,Rb,Sr,Ba,Cu/Zn,
S1,73,21,5.6,0.3,580,146,55.7,9.85,2.79,12.2,9.7,0.57,41.4,19.9,5.55,11.5,3.71,3.17,0.08,1,0.19,3.5,
S2,87,16,4.29,0.53,534,199,132,36.4,8.44,20,4.8,1,72.8,20.8,2.17,4.46,1.55,1.31,0.07,0.15,0.18,5.5,
S3,73,28,5.91,0.78,451,131,105,23.8,8.47,16.5,6.7,0.64,29,15.7,4,8.89,3.33,2.7,0.14,8.9,0.35,2.6,
S4,80,20,6.17,0.39,558,171,70,11.1,4.83,11.9,9.34,0.82,60.7,23.2,6.16,13.8,6.08,4.91,0.14,0.29,0.39,3.9,
S5,78,22,3.87,0.55,513,156,67,14.5,6.49,5.3,7.69,0.58,58.7,23.3,3.87,11.6,4.38,3.69,0.12,0.91,0.45,3.5,
S6,81,22,6.51,0.19,579,159,60.3,8.32,1.88,9.6,8.54,0.96,61.4,15.7,2.12,4.36,2.29,1.9,0.11,0.45,0.75,3.7,
S7,75,20,6.45,0.33,559,130,107,211,3.37,11.6,17.6,0.8,51,22.3,1.75,5.5,2.16,1.57,0.13,0.34,0.5,3.8,
S8,82,24,6.13,0.31,548,160,75.4,9.66,3.19,7.6,6.98,0.83,58.5,23.7,1.99,13.3,3.55,2.36,0.11,1.45,0.26,3.4,
S9,80,18,4.63,0.44,482,159,109,24.2,5.28,30.5,3.92,0.91,91.3,23.7,1.69,8.4,2.7,1.78,0.07,0.11,0.43,4.4,
S10,72,28,5.92,0.76,435,105,111,23.5,8.29,16.2,6.65,0.61,27.6,19.5,1.23,6.77,2,1.41,0.12,0.21,0.3,2.5,
S11,76,19,5.93,0.43,525,138,53.2,15.1,5.13,8.5,8.29,0.86,54.5,12.9,0.92,6.57,1.71,1.28,0.1,0.56,0.24,4.1,
S12,69,17,6.67,0.5,657,141,50.1,13.8,4.45,8.3,8.14,0.87,55,13.4,1.2,3.22,1.65,1.1,0.1,3.13,0.22,4.1,
S13,78,20,3.3,1.06,458,189,549,197,1.6,17.3,38.3,1,181,86.6,1.55,9.28,3.08,2.23,0.07,0.52,1.17,4,
S14,74,25,4.7,0.44,433,81.7,88.2,14.6,5.08,20.3,1.98,0.71,26.1,29.7,1.13,6.51,2.49,1.55,0.1,0.17,0.19,3,
S15,84,20,5.2,0.14,549,171,107,20.6,1.06,23.4,4.24,0.95,92,12,0.74,3.44,1.58,1.08,0.08,0.08,0.17,4.1,
S16,82,19,4.72,0.16,560,162,103,19.9,1.14,22.2,4,0.89,82.1,12.4,0.67,21.2,2.32,2.53,0.08,0.31,0.31,4.2,
S17,77,20,6.92,0.79,500,177,153,54.7,9.06,31.8,65.8,0.81,27.9,5.8,0.4,3.31,0.93,0.67,0.08,7.27,0.35,3.8,
S18,83,19,4.57,0.44,515,158,111,22.1,5.09,28.4,3.8,0.99,89.3,21.5,0.52,4.08,1.69,1.01,0.09,11.8,0.27,4.4,
S19,71,28,5.25,0.72,494,114,101,38.1,6.14,18.5,10.4,0.72,33.6,17.7,1.49,8.36,2.61,1.54,0.16,4.89,3.37,2.6,
S20,76,19,6.31,0.41,535,139,51.5,14,4.41,8.2,8.11,0.97,56.3,13.4,0.62,2.91,1.34,0.79,0.06,0.42,0.4,4.1,
S21,74,21,4.88,0.49,423,80,68,14.4,5.67,22.5,1.99,0.91,25.3,26.3,0.42,2.49,0.97,0.59,0.07,0.7,0.23,3.5,
S22,71,21,6,0.93,606,142,175,55.3,15.03,11.8,42,0.56,46.3,25.7,0.85,11.6,2.82,2.19,0.12,15.1,3.61,3.4,
S23,72,22,6.18,0.33,623,121,67.2,9.12,2.61,11.6,9.07,0.58,40.1,18.3,0.73,5.38,2.52,1.45,0.11,0.08,0.14,3.3,
S24,76,18,6.49,0.28,645,172,52.5,9.43,1.94,9.1,9.75,1,79.7,14.6,0.4,3.76,1.39,0.86,0.08,0.15,0.28,4.3,
S25,78,18,1.05,0.75,496,162,32.2,56.7,0.34,5,4.1,0.91,49.8,29.5,0.61,5.31,2.02,1.27,0.09,0.17,0.32,4.3,
S26,75,20,6.35,0.45,543,137,57.1,9.5,4.95,11.2,8.29,0.85,58.6,23.4,0.49,14.6,1.69,1.1,0.07,0.19,0.25,3.8,
S27,72,20,6.48,0.41,558,140,54.5,9.1,4.34,10.6,8.19,0.89,57,18.4,0.36,3.05,1.49,0.85,0.07,6.73,0.26,3.7,
S28,76,21,5.91,0.83,471,172,139,46.5,8.88,54.7,1.89,0.66,27,12.5,0.41,6.32,2.03,1.6,0.09,4,4.59,3.6,
S29,69,28,6.57,0.81,492,121,122,26.4,7.79,18.8,9.63,0.71,33.3,22.1,0.53,5.25,2.74,1.81,0.13,0.93,0.38,2.5,
S30,86,16,4.61,0.57,467,196,158,37.7,10.4,19.8,4.9,0.99,74.2,22.5,0.19,2.16,1.13,0.67,0.07,0.28,0.2,5.4,
S31,77,25,5.25,0.73,400,89,101,18.4,9.98,22.6,2.89,0.68,26.3,32.6,0.31,3.96,1.8,1.05,0.1,0.14,0.24,3.1,
S32,82,22,7.22,0.72,461,148,148,42.8,9.05,53.8,2.84,0.95,39.1,14,0.39,4.74,2.51,1.55,0.12,0.18,0.31,3.7,
S33,82,20,5.14,0.45,492,166,117,22.8,5.26,28.5,3.59,1,87.4,21.8,0.14,2.02,1,0.59,0.06,0.33,0.16,4.2,
S34,80,16,4.48,0.47,468,187,132,33.8,7.64,18.8,4.52,1.02,70.4,18.7,0.14,2.18,0.89,0.57,0.06,0.09,0.19,5,
S35,78,19,6.62,0.24,539,174,57.4,9.02,1.91,8.9,9.78,0.99,80.3,14.4,0.17,2.63,1.31,0.72,0.08,0.24,0.17,4.2,
S36,78,20,7.71,0.18,683,175,64.8,7.04,2.36,6.4,6.57,1,62,14.2,0.3,5.24,2.19,1.97,0.11,0.42,0.23,3.9,
S37,75,23,6.63,0.23,464,131,66,7.51,3.35,9.7,5.62,0.65,40.6,15.2,0.1,2.68,1.23,1.02,0.09,2.88,0.12,3.2,
S38,90,21,2.33,0.38,656,165,125,201,0.9,24.8,15.7,1.75,151,79.1,0.4,8.97,3.95,2.34,0.22,2.2,0.42,4.3,